hrName,hrNo,meet,rating1,rating2,rating3,rating4
시크릿무브,0027135,부산경남,69,70.0,86.0,87.0
명품탄생,0027157,부산경남,53,64.0,64.0,66.0
아름드리,0027178,부산경남,61,74.0,,
프린스킹덤,0027180,부산경남,94,114.0,,
비바에이스,0027306,부산경남,86,87.0,88.0,89.0
샌드하이,0027307,부산경남,88,90.0,91.0,92.0
라이언산타,0027312,부산경남,99,119.0,120.0,120.0
탐라황제,0027418,부산경남,94,114.0,,
천재보고,0027510,부산경남,96,96.0,98.0,118.0
치마천리,0027568,부산경남,73,90.0,,
모닝시대,0027573,부산경남,67,82.0,83.0,84.0
영크라운,0027574,부산경남,52,62.0,64.0,
타깃히트,0027581,부산경남,67,82.0,83.0,83.0
네버다이호크,0027582,부산경남,0,0.0,,
롱스피드,0027596,부산경남,90,90.0,,
마이키,0027602,부산경남,93,93.0,93.0,113.0
불패동자,0027632,부산경남,70,86.0,87.0,87.0
스토미레인,0027658,부산경남,22,23.0,,
하이파이브,0027680,부산경남,87,88.0,90.0,92.0
강력한,0027698,부산경남,37,42.0,42.0,43.0
천지히어로,0027713,부산경남,55,57.0,57.0,58.0
그랜드피날레,0027715,부산경남,21,21.0,21.0,21.0
신흥대국,0027722,부산경남,71,88.0,89.0,
로열빅토르,0027729,부산경남,47,48.0,48.0,51.0
삼한영웅,0027733,부산경남,28,30.0,31.0,33.0
퍼스트터치,0027740,부산경남,83,83.0,83.0,83.0
배다리에이스,0027758,부산경남,31,34.0,36.0,38.0
메가볼트,0027771,부산경남,57,69.0,69.0,69.0
자이언츠키,0027792,부산경남,37,43.0,45.0,46.0
세인트유니언,0027797,부산경남,22,23.0,,
비바레전드,0027798,부산경남,40,47.0,,
금포챔피언,0027801,부산경남,26,28.0,,
영광의레이스,0027803,부산경남,51,52.0,53.0,54.0
신흥강풍,0027822,부산경남,68,84.0,87.0,
아이러브송,0027855,부산경남,0,0.0,,
원포인트,0027877,부산경남,0,0.0,,
찬란한우승,0027913,부산경남,111,111.0,110.0,
승리레이저,0027917,부산경남,91,,,
파워풀남해,0027918,부산경남,64,67.0,69.0,85.0
와일드버닝,0027920,부산경남,67,68.0,68.0,68.0
리설여왕,0027928,부산경남,40,46.0,48.0,49.0
스마일어게인,0027936,부산경남,108,108.0,,
엠케이크라운,0028008,부산경남,40,46.0,47.0,47.0
익스트림호크,0028025,부산경남,22,23.0,,
다하미,0028041,부산경남,21,17.0,19.0,21.0
랜드엔젤,0028056,부산경남,64,65.0,66.0,67.0
한양을가자,0028061,부산경남,54,65.0,66.0,67.0
세계최고,0028062,부산경남,70,86.0,86.0,86.0
역전의용사,0028078,부산경남,42,49.0,50.0,50.0
무비소나타,0028084,부산경남,32,33.0,33.0,33.0
미라클원더,0028091,부산경남,93,113.0,,
폭풍전설,0028094,부산경남,25,26.0,28.0,
불패의바람,0028124,부산경남,60,60.0,60.0,73.0
불패가도,0028126,부산경남,61,74.0,76.0,76.0
슈퍼스피드,0028136,부산경남,39,45.0,46.0,47.0
메이저퀸,0028168,부산경남,39,45.0,,
레드호크,0028175,부산경남,49,58.0,60.0,60.0
블로섬버드,0028177,부산경남,42,49.0,,
최대강자,0028189,부산경남,66,67.0,67.0,67.0
원키,0028226,부산경남,73,90.0,90.0,90.0
팀워크,0028237,부산경남,36,38.0,40.0,46.0
플레임캠프,0028245,부산경남,73,90.0,89.0,80.0
코리아위너,0028263,부산경남,0,0.0,,
슈퍼클로저,0028271,부산경남,37,43.0,,
무패대왕,0028280,부산경남,59,61.0,61.0,62.0
스팅레이,0028283,부산경남,88,89.0,89.0,90.0
한반도정복,0028284,부산경남,54,54.0,55.0,56.0
스피드배틀,0028294,부산경남,38,44.0,44.0,45.0
히말라야기상,0028296,부산경남,41,48.0,,
메가톤,0028298,부산경남,91,111.0,111.0,114.0
법천왕,0028302,부산경남,89,109.0,109.0,109.0
정월보름,0028304,부산경남,55,67.0,,
머스트런,0028311,부산경남,22,23.0,,
해미루,0028315,부산경남,42,49.0,50.0,51.0
승리그랜드,0028317,부산경남,31,33.0,34.0,36.0
라온굿,0028321,부산경남,43,51.0,52.0,53.0
라온프라다,0028324,부산경남,84,85.0,86.0,
라온보스,0028325,부산경남,70,86.0,88.0,91.0
미스퀵,0028339,부산경남,88,91.0,93.0,95.0
스윙사일런스,0028352,부산경남,23,24.0,24.0,
미즈스카이,0028369,부산경남,0,0.0,,
마렝고,0028371,부산경남,55,67.0,67.0,68.0
천군시대,0028374,부산경남,47,56.0,54.0,54.0
보헤미안투톨,0028386,부산경남,22,23.0,23.0,
실버트레인,0028394,부산경남,25,27.0,,
브레인빅터,0028404,부산경남,22,23.0,,
훈풍,0028406,부산경남,42,49.0,,
아크라이트,0028410,부산경남,81,81.0,81.0,101.0
새천년대로,0028429,부산경남,71,88.0,91.0,91.0
콩코르디아,0028435,부산경남,37,42.0,42.0,42.0
필꽃,0028447,부산경남,55,57.0,59.0,60.0
스포티,0028460,부산경남,84,104.0,105.0,106.0
챌린저드림,0028486,부산경남,56,68.0,66.0,66.0
배틀필드,0028488,부산경남,71,88.0,87.0,88.0
신용퀸,0028490,부산경남,67,82.0,83.0,83.0
미스터위너,0028498,부산경남,55,67.0,68.0,
