기수1,기수2,동반출전,동반입상,확률%
박재이,씨씨웡,5,0,0.0
박재이,이혁,5,0,0.0
박재이,정도윤,5,0,0.0
박재이,조재로,5,0,0.0
빅투아르,유승완,94,12,12.77
서승운,씨씨웡,9,2,22.22
서승운,유승완,5,0,0.0
서승운,이혁,9,0,0.0
서승운,정도윤,7,2,28.57
서승운,정정희,6,0,0.0
서승운,조재로,13,2,15.38
씨씨웡,정도윤,5,1,20.0
이혁,정도윤,6,0,0.0
정도윤,조재로,7,2,28.57
김정준,문정균,65,1,1.54
김정준,유승완,79,4,5.06
김태훈,문정균,44,1,2.27
김효정,문정균,64,2,3.12
문정균,유승완,61,1,1.64
김정준,김태희,74,0,0.0
김철호,조인권,26,4,15.38
김아현,박태종,17,0,0.0
김아현,오수철,34,0,0.0
김아현,유승완,30,0,0.0
김옥성,씨씨웡,38,3,7.89
김옥성,오수철,37,1,2.7
김용근,박태종,33,1,3.03
김용근,씨씨웡,100,11,11.0
김용근,오수철,64,4,6.25
문세영,오수철,52,1,1.92
박태종,오수철,27,0,0.0
박태종,유승완,29,0,0.0
박태종,장추열,27,2,7.41
오수철,장추열,92,3,3.26
오수철,조재로,79,2,2.53
오수철,코지,53,1,1.89
유승완,코지,55,5,9.09
김정준,마이아,74,12,16.22
김정준,이용호,40,0,0.0
김정준,푸르칸,80,2,2.5
김태훈,마이아,38,3,7.89
김태훈,푸르칸,56,3,5.36
마이아,이용호,36,1,2.78
마이아,코지,49,4,8.16
마이아,푸르칸,65,7,10.77
문세영,이용호,23,0,0.0
문세영,푸르칸,51,6,11.76
문정균,이용호,27,2,7.41
문정균,푸르칸,58,4,6.9
이용호,조재로,55,3,5.45
이용호,조한별,48,2,4.17
이용호,코지,29,0,0.0
이용호,푸르칸,48,2,4.17
임다빈,푸르칸,94,5,5.32
조재로,푸르칸,91,3,3.3
조한별,푸르칸,86,4,4.65
코지,푸르칸,65,6,9.23
김아현,이혁,35,1,2.86
김아현,정정희,36,0,0.0
김옥성,김정준,30,2,6.67
김옥성,김철호,19,0,0.0
김옥성,김태희,37,1,2.7
김옥성,이용호,16,1,6.25
김정준,오수철,72,2,2.78
김철호,오수철,38,1,2.63
김철호,이용호,30,0,0.0
